number,出售价,挂牌价,单价,行政区,小区,建筑面积,建筑类型,建成时间,朝向,户型2,楼层,所在楼层,总楼层,装修,梯户比,电梯,产权年限,成交时间,房屋用途,房屋年限,地铁,税收
1339,126,130,18314,番禺,珠殿苑南区,68.8,塔楼,1996,南,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2017-12-17,普通住宅,暂无数据,,
1340,146.9,150,21180,番禺,绿庭雅苑,69.35,塔楼,2005,西,2室1厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯四户,无,70年,2017-12-17,普通住宅,暂无数据,,
1341,155,160,22795,荔湾,逢源路逢源南街,68,塔楼,未知,东,4室1厅1厨2卫,高楼层 (共7层),高楼层,7,精装,一梯九户,无,70年,2017-12-17,普通住宅,暂无数据,地铁,
1342,212,238,23821,海珠,南洲花苑A区,89,塔楼,1993,南,2室2厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯十户,无,70年,2017-12-17,普通住宅,暂无数据,地铁,
1343,168,175,28966,越秀,保利中环广场,58,塔楼,2009,西,1室0厅1厨1卫,中楼层 (共36层),中楼层,36,精装,三梯二十户,有,50年,2017-12-17,商住两用,暂无数据,地铁,
1344,263,268,35541,黄埔,万科城市花园,74,塔楼,2003,南 北,2室1厅1厨1卫,低楼层 (共11层),低楼层,11,简装,一梯四户,有,70年,2017-12-17,普通住宅,暂无数据,地铁,
1345,202,225,30667,海珠,沙园沙园二街,65.87,塔楼,2002,南,2室1厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯两户,无,70年,2017-12-17,普通住宅,暂无数据,地铁,
1346,128,128,22858,黄埔,中海誉城南苑,56,塔楼,2015,北,1室1厅1厨1卫,高楼层 (共33层),高楼层,33,其他,两梯十户,有,70年,2017-12-17,普通住宅,暂无数据,,
1347,216,222,24270,番禺,亚运城媒体北村,89,塔楼,未知,南 北,2室2厅1厨1卫,高楼层 (共22层),高楼层,22,其他,一梯四户,暂无数据,70年,2017-12-17,普通住宅,暂无数据,地铁,
1348,169,170,29806,番禺,祈福新村绿怡居,56.7,板楼,1995,北,2室2厅0厨1卫,低楼层 (共4层),低楼层,4,简装,一梯一户,无,70年,2017-12-17,普通住宅,满两年,,
1349,336,345,44699,天河,阳光假日园,75.17,塔楼,2009,南 北,2室1厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯六户,有,70年,2017-12-17,普通住宅,满五年,地铁,房屋满五年
1350,98,105,22509,白云,华园新村,43.54,塔楼,1995,北,2室1厅1厨2卫,低楼层 (共7层),低楼层,7,其他,一梯八户,无,70年,2017-12-15,普通住宅,暂无数据,地铁,
1351,242.8,250,31041,海珠,粤信广场,78.22,塔楼,1996,北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯六户,无,70年,2017-12-15,普通住宅,暂无数据,地铁,
1352,85,98,18319,白云,梓元岗路,46.4,塔楼,未知,南 北,3室0厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯四户,无,70年,2017-12-15,普通住宅,暂无数据,地铁,
1353,165,170,19182,白云,新市花园一期,86.02,塔楼,1994,北,5室3厅5厨5卫,低楼层 (共9层),低楼层,9,其他,一梯四户,无,70年,2017-12-15,普通住宅,暂无数据,,
1354,270,275,30537,白云,金碧新城,88.42,塔楼,2004,西南,3室1厅1厨1卫,低楼层 (共11层),低楼层,11,简装,一梯四户,有,70年,2017-12-15,普通住宅,暂无数据,,
1355,325,230,32500,荔湾,珠岛花园,100,塔楼,1999,南,3室2厅0厨2卫,低楼层 (共23层),低楼层,23,其他,两梯八户,有,70年,2017-12-12,普通住宅,暂无数据,,
1356,410,420,39424,白云,浔峰御金沙园,104,塔楼,2011,南,3室2厅1厨2卫,中楼层 (共25层),中楼层,25,其他,两梯五户,有,70年,2017-12-12,普通住宅,暂无数据,地铁,
1357,185,190,33036,海珠,英豪花园枫叶苑,56,塔楼,2005,东,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯五户,无,70年,2017-12-12,普通住宅,暂无数据,地铁,
1358,195,199,27084,番禺,昊龙花园北区,72,塔楼,2007,南,2室2厅1厨1卫,中楼层 (共5层),中楼层,5,其他,一梯四户,无,70年,2017-12-12,普通住宅,暂无数据,,
1359,145,150,23505,黄埔,港湾路,61.69,塔楼,1995,南 北,2室2厅1厨1卫,中楼层 (共8层),中楼层,8,简装,一梯三户,无,70年,2017-12-12,普通住宅,暂无数据,地铁,
1360,242,242,13490,花都,碧桂园假日半岛映月湾,179.4,暂无数据,未知,南,4室2厅1厨3卫,低楼层 (共1层),低楼层,1,其他,一梯一户,暂无数据,70年,2017-12-12,别墅,暂无数据,,
1361,510,530,51226,天河,太阳广场,99.56,塔楼,1997,东南,3室2厅1厨2卫,高楼层 (共18层),高楼层,18,其他,一梯三户,有,70年,2017-12-12,普通住宅,满五年,地铁,房屋满五年
1362,133,133,25962,番禺,尚东尚筑,51.23,塔楼,2008,南,1室2厅1厨1卫,低楼层 (共17层),低楼层,17,精装,两梯十二户,有,70年,2017-12-12,普通住宅,暂无数据,,
1363,118,125,23047,番禺,祈福新村D区,51.2,板楼,1995,南,2室1厅1厨1卫,高楼层 (共4层),高楼层,4,其他,一梯一户,无,70年,2017-12-12,普通住宅,暂无数据,,
1364,126,140,22679,白云,新兴白云花园乐居南街,55.56,塔楼,1999,西北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯六户,无,70年,2017-12-12,普通住宅,暂无数据,,
1365,280,285,34147,白云,翠逸家园,82,塔楼,2000,西南,2室1厅1厨1卫,低楼层 (共17层),低楼层,17,其他,两梯八户,有,70年,2017-12-12,普通住宅,暂无数据,地铁,
1366,319,330,32887,白云,擎山苑,97,塔楼,2005,南,4室1厅2厨1卫,中楼层 (共15层),中楼层,15,简装,两梯八户,有,70年,2017-12-12,普通住宅,暂无数据,地铁,
1367,300,320,29053,海珠,晓安花园,103.26,塔楼,2000,西北,3室1厅1厨1卫,中楼层 (共17层),中楼层,17,其他,两梯七户,有,70年,2017-12-12,普通住宅,暂无数据,地铁,
1368,410,415,34711,番禺,广州雅居乐花园雅逸庭,118.12,塔楼,2010,西南,3室2厅1厨2卫,低楼层 (共11层),低楼层,11,其他,一梯四户,有,70年,2017-12-12,普通住宅,暂无数据,,
1369,114,118,35002,越秀,北京路,32.57,塔楼,未知,南,1室1厅1厨1卫,中楼层 (共6层),中楼层,6,其他,一梯四十六户,无,70年,2017-12-21,普通住宅,暂无数据,地铁,
1370,213.8,215,23495,增城,金泽豪庭,91,塔楼,2007,南,3室2厅1厨1卫,高楼层 (共26层),高楼层,26,毛坯,两梯四户,有,70年,2017-12-12,普通住宅,暂无数据,地铁,
1371,195,210,30000,荔湾,福盛花苑,65,塔楼,1998,南,2室1厅1厨1卫,高楼层 (共8层),高楼层,8,精装,一梯四户,无,70年,2017-12-21,普通住宅,暂无数据,地铁,
1372,110,120,21298,越秀,北站路北站新街,51.65,塔楼,未知,东南,2室1厅1厨1卫,高楼层 (共7层),高楼层,7,其他,一梯四户,暂无数据,70年,2017-12-21,普通住宅,暂无数据,,
1373,172,175,21157,番禺,鸿城花园,81.3,塔楼,2000,西北,2室2厅1厨1卫,低楼层 (共28层),低楼层,28,简装,两梯八户,有,70年,2017-12-21,普通住宅,暂无数据,地铁,
1374,242,242,37231,黄埔,金碧世纪花园,65,塔楼,2004,南,2室2厅1厨1卫,低楼层 (共32层),低楼层,32,简装,两梯八户,有,70年,2017-12-21,普通住宅,暂无数据,,
1375,263,270,39254,越秀,东华南路,67,塔楼,1996,南,3室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2017-12-21,普通住宅,暂无数据,地铁,
1376,132,135,44296,海珠,金碧花园第三金碧,29.8,塔楼,2000,东,1室0厅1厨1卫,高楼层 (共32层),高楼层,32,简装,两梯七户,有,70年,2017-12-21,普通住宅,暂无数据,,
1377,422,435,44657,白云,岭南新世界锦云峰,94.5,塔楼,2013,南,3室2厅1厨2卫,低楼层 (共30层),低楼层,30,其他,三梯六户,有,70年,2017-12-21,普通住宅,暂无数据,地铁,
1378,268,310,30441,白云,富力碧涛湾,88.04,塔楼,1998,东南,3室2厅1厨2卫,低楼层 (共6层),低楼层,6,简装,一梯四户,无,70年,2017-12-21,普通住宅,暂无数据,,
1379,215,220,29862,白云,广园云苑新村,72,塔楼,1999,南,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯两户,无,70年,2017-12-21,普通住宅,暂无数据,,
1380,300,300,40000,天河,盈彩美居,75,塔楼,2003,北,2室2厅1厨1卫,高楼层 (共12层),高楼层,12,简装,两梯五户,有,70年,2017-12-21,普通住宅,暂无数据,,
1381,248,250,28477,白云,托斯卡纳,87.09,塔楼,2009,西北,2室2厅1厨1卫,低楼层 (共12层),低楼层,12,其他,两梯四户,有,70年,2017-12-17,普通住宅,暂无数据,,
1382,61.5,50,21678,白云,利都大厦,28.37,塔楼,1999,东,1室1厅1厨1卫,高楼层 (共8层),高楼层,8,其他,一梯二十五户,有,70年,2017-12-17,普通住宅,暂无数据,,
1383,360,360,35232,荔湾,荔港南湾,102.18,塔楼,2008,西南,3室2厅1厨2卫,高楼层 (共28层),高楼层,28,其他,两梯七户,有,70年,2017-12-17,普通住宅,暂无数据,地铁,
1384,219,224,34219,番禺,香缤豪庭,64,塔楼,2011,南,3室2厅1厨1卫,低楼层 (共24层),低楼层,24,其他,两梯四户,有,70年,2017-12-17,普通住宅,暂无数据,,
1385,35.8,37.8,17081,白云,春鸿居,20.96,塔楼,1997,北,1室0厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯三户,无,70年,2017-12-23,普通住宅,满五年,,房屋满五年
1386,257,265,25446,番禺,珠江花园,101,塔楼,1992,西北,3室2厅1厨1卫,高楼层 (共28层),高楼层,28,其他,三梯九户,有,70年,2017-12-23,普通住宅,暂无数据,,
1387,109,116,23341,增城,新都盛世名门,46.7,塔楼,2012,西南,1室1厅1厨1卫,中楼层 (共22层),中楼层,22,精装,两梯十二户,有,70年,2017-12-23,普通住宅,暂无数据,地铁,
1388,104.4,105,29067,荔湾,华贵路,35.9,暂无数据,未知,南,2室1厅0厨0卫,低楼层 (共1层),低楼层,1,其他,一梯一户,暂无数据,70年,2017-12-23,别墅,暂无数据,,
1389,111,118,30834,荔湾,黄沙大道留庆新横街,36,塔楼,未知,东,2室1厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯四户,无,70年,2017-12-23,普通住宅,暂无数据,地铁,
1390,270,276,25446,白云,云山居,106.11,塔楼,2000,南,2室2厅1厨2卫,高楼层 (共5层),高楼层,5,其他,一梯四户,无,70年,2017-12-23,普通住宅,暂无数据,,
1391,209,210,26533,番禺,亚运城媒体北村,78.77,塔楼,未知,东南,2室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,一梯四户,暂无数据,70年,2017-12-23,普通住宅,暂无数据,地铁,
1392,153,155,30000,海珠,保利红棉花园,51,塔楼,1997,南,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯六户,无,70年,2017-12-23,普通住宅,暂无数据,地铁,
1393,175,175,21892,黄埔,解放村,79.94,塔楼,1994,南,3室2厅1厨1卫,高楼层 (共9层),高楼层,9,精装,一梯四户,无,70年,2017-12-23,普通住宅,暂无数据,地铁,
1394,300,390,11073,海珠,瀛洲北路瀛洲八街,270.93,暂无数据,未知,南,11室7厅5厨9卫,低楼层 (共1层),低楼层,1,其他,一梯一户,无,70年,2017-12-23,别墅,暂无数据,,
1395,160,165,33334,天河,棠德花园,48,塔楼,未知,南,3室2厅1厨1卫,低楼层 (共9层),低楼层,9,简装,一梯五户,无,70年,2017-12-23,普通住宅,暂无数据,,
1396,592,585,40735,荔湾,荔港南湾,145.33,塔楼,2008,西南,4室2厅1厨2卫,高楼层 (共34层),高楼层,34,其他,两梯六户,有,70年,2017-12-17,普通住宅,暂无数据,,
1397,501,520,61852,天河,嘉怡苑,81,塔楼,未知,东,2室2厅1厨1卫,高楼层 (共25层),高楼层,25,简装,一梯八户,暂无数据,70年,2017-12-17,普通住宅,暂无数据,地铁,
1398,90,92,25119,荔湾,珠岛花园,35.83,塔楼,1995,南,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,精装,一梯七户,无,70年,2017-12-23,普通住宅,满两年,地铁,
1399,320,325,37599,黄埔,黄埔花园,85.11,塔楼,2011,北,2室2厅1厨1卫,低楼层 (共18层),低楼层,18,其他,两梯六户,有,70年,2017-12-17,普通住宅,暂无数据,地铁,
1400,459,470,51000,海珠,海珠半岛花园,90,塔楼,1997,南 北,3室2厅1厨2卫,高楼层 (共31层),高楼层,31,精装,三梯八户,有,70年,2017-12-17,普通住宅,满五年,,房屋满五年
1401,490,450,41706,荔湾,新世界逸彩庭园E区,117.49,塔楼,2007,西北,3室2厅1厨2卫,中楼层 (共20层),中楼层,20,其他,两梯六户,有,70年,2017-12-17,普通住宅,暂无数据,地铁,
1402,183,188,46912,海珠,金碧花园第三金碧,39.01,塔楼,2000,南 北,1室1厅1厨11卫,中楼层 (共32层),中楼层,32,简装,两梯六户,有,70年,2017-12-17,普通住宅,暂无数据,,
1403,200,200,31898,白云,广信金兰花园金兰街,62.7,塔楼,1998,东北,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,精装,一梯六户,无,70年,2017-12-18,普通住宅,暂无数据,地铁,
1404,314.8,326,39062,天河,旭景家园A区,80.59,塔楼,2002,北,3室1厅1厨1卫,中楼层 (共15层),中楼层,15,精装,两梯六户,有,70年,2017-12-17,普通住宅,暂无数据,,
1405,330,350,48530,天河,六运小区,68,塔楼,未知,南,2室1厅1厨1卫,高楼层 (共8层),高楼层,8,简装,一梯四户,暂无数据,70年,2017-12-18,普通住宅,暂无数据,地铁,
1406,265,280,36557,天河,云山翠苑,72.49,塔楼,2004,南,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯四户,有,70年,2017-12-18,普通住宅,暂无数据,地铁,
1407,255,268,32693,番禺,君华香柏御府,78,塔楼,未知,南,4室2厅1厨2卫,中楼层 (共33层),中楼层,33,毛坯,一梯六户,暂无数据,70年,2017-12-18,普通住宅,暂无数据,,
1408,530,540,56990,越秀,华逸锦轩,93,塔楼,2004,西北,2室2厅1厨1卫,低楼层 (共27层),低楼层,27,简装,两梯八户,有,70年,2017-12-18,普通住宅,暂无数据,地铁,
1409,196,202,24748,番禺,番禺海伦堡御院,79.2,塔楼,2005,南,3室2厅1厨1卫,高楼层 (共7层),高楼层,7,其他,一梯四户,无,70年,2017-12-18,普通住宅,暂无数据,,
1410,258,251,17304,花都,自由人花园,149.1,塔楼,未知,南 北,5室2厅1厨2卫,低楼层 (共26层),低楼层,26,其他,一梯四户,暂无数据,70年,2017-12-12,普通住宅,暂无数据,,
1411,95,95,18270,增城,水电广场,52,塔楼,2015,北,1室1厅1厨1卫,低楼层 (共23层),低楼层,23,其他,四梯二十户,有,70年,2017-12-12,普通住宅,满两年,地铁,
1412,157.5,165,26827,天河,慧仪楼,58.71,塔楼,2000,东南,2室2厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯三户,无,70年,2017-12-12,普通住宅,暂无数据,,
1413,1190,1280,77778,天河,利雅湾,153,塔楼,2004,东南,3室2厅0厨2卫,高楼层 (共29层),高楼层,29,其他,三梯八户,有,70年,2017-12-12,普通住宅,暂无数据,地铁,
1414,660,680,47955,白云,云山诗意诗意居,137.63,塔楼,2008,南,4室2厅1厨2卫,高楼层 (共18层),高楼层,18,其他,两梯四户,有,70年,2017-12-21,普通住宅,暂无数据,地铁,
1415,290,290,31837,白云,广信白兰花园,91.09,塔楼,1998,南 北,3室2厅1厨1卫,中楼层 (共7层),中楼层,7,简装,一梯五户,无,70年,2017-12-21,普通住宅,暂无数据,地铁,
1416,170,173,30560,天河,棠德花园,55.63,塔楼,1997,东,2室1厅1厨1卫,低楼层 (共10层),低楼层,10,其他,一梯四户,无,70年,2017-12-21,普通住宅,满五年,,房屋满五年
1417,500,510,55556,天河,紫荆小区,90,塔楼,1998,北,3室2厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯四户,无,70年,2017-12-21,普通住宅,暂无数据,地铁,
1418,405,405,45222,黄埔,金港花园,89.56,塔楼,2000,南 北,3室2厅1厨1卫,中楼层 (共18层),中楼层,18,精装,两梯六户,有,70年,2017-12-21,普通住宅,满五年,地铁,房屋满五年
1419,179,180,27969,海珠,细岗路细岗东区,64,板楼,未知,南,2室1厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯两户,暂无数据,70年,2017-12-22,普通住宅,暂无数据,地铁,
1420,153,156,50050,越秀,竹丝岗大马路,30.57,塔楼,未知,东,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2017-12-22,普通住宅,暂无数据,地铁,
1421,245,260,39799,海珠,金碧花园第二金碧,61.56,塔楼,2000,东,2室2厅1厨1卫,中楼层 (共33层),中楼层,33,简装,三梯六户,有,70年,2017-12-22,普通住宅,暂无数据,,
1422,93.6,95,23842,白云,景泰新村景泰西六巷,39.26,塔楼,2008,南,1室1厅1厨1卫,低楼层 (共8层),低楼层,8,其他,一梯五户,无,70年,2017-12-22,普通住宅,暂无数据,,
1423,145,153,27374,白云,景泰新村景泰东四巷,52.97,塔楼,1990,东北,3室1厅1厨1卫,中楼层 (共8层),中楼层,8,简装,一梯四户,无,70年,2017-12-22,普通住宅,暂无数据,,
1424,525,530,50481,海珠,玫瑰园,104,塔楼,2000,北,3室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯四户,有,70年,2017-12-22,普通住宅,暂无数据,地铁,
1425,505,520,51463,白云,时代花园,98.13,塔楼,2001,东北,3室2厅1厨1卫,高楼层 (共15层),高楼层,15,其他,两梯六户,有,70年,2017-12-23,普通住宅,暂无数据,,
1426,194.5,195,25260,番禺,亚运城媒体南村,77,塔楼,未知,北,2室2厅1厨1卫,低楼层 (共18层),低楼层,18,其他,一梯四户,暂无数据,70年,2017-12-23,普通住宅,暂无数据,地铁,
1427,51,55,11334,花都,富力金港城,45,塔楼,2013,北,1室1厅1厨1卫,低楼层 (共18层),低楼层,18,其他,两梯八户,有,70年,2017-12-23,普通住宅,暂无数据,,
1428,145,148,32223,海珠,沙园沙园四街,45,板楼,2002,南,2室1厅1厨1卫,低楼层 (共6层),低楼层,6,其他,一梯两户,无,70年,2017-12-23,普通住宅,暂无数据,地铁,
1429,59.7,60,21933,荔湾,金宇花园,27.22,塔楼,1998,东,1室0厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯八户,无,70年,2017-12-23,普通住宅,暂无数据,,
1430,90,90,22728,越秀,府前铭泰,39.6,塔楼,2014,北,1室1厅1厨1卫,高楼层 (共25层),高楼层,25,其他,一梯五十户,暂无数据,50年,2017-12-23,商住两用,暂无数据,地铁,
1431,309,328,32188,番禺,雅居乐城南源著,96,塔楼,2013,东南,3室2厅1厨1卫,中楼层 (共12层),中楼层,12,其他,两梯四户,有,70年,2017-12-23,普通住宅,暂无数据,,
1432,108,110,33334,海珠,英豪花园一期,32.4,塔楼,2005,北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯八户,无,70年,2017-12-23,普通住宅,暂无数据,地铁,
1433,100,100,23759,白云,景泰新村景泰东四巷,42.09,塔楼,1990,南 北,1室1厅1厨1卫,中楼层 (共8层),中楼层,8,简装,一梯两户,无,70年,2017-12-24,普通住宅,暂无数据,,
1434,361,363,51572,天河,六运小区,70,塔楼,1993,东 西,2室1厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯两户,无,70年,2017-12-24,普通住宅,暂无数据,地铁,
1435,113,117.8,19192,荔湾,十八甫南路冼基,58.88,塔楼,未知,东,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯九户,暂无数据,70年,2017-12-24,普通住宅,暂无数据,地铁,
1436,205.5,208,34486,海珠,雅景苑,59.59,塔楼,2002,南 北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯六户,无,70年,2017-12-24,普通住宅,暂无数据,地铁,
1437,156,157,19071,番禺,锦绣生态园雅典花园,81.8,塔楼,未知,北,3室2厅1厨1卫,高楼层 (共12层),高楼层,12,简装,一梯四户,有,70年,2017-12-24,普通住宅,暂无数据,,
1438,185,196,38542,海珠,富景花园,48,塔楼,2003,西北,1室1厅1厨1卫,中楼层 (共32层),中楼层,32,简装,两梯十四户,有,70年,2017-12-24,普通住宅,暂无数据,地铁,
1439,350,350,49296,天河,城市假日园,71,塔楼,2004,南,2室2厅1厨1卫,中楼层 (共16层),中楼层,16,其他,两梯六户,有,70年,2017-12-24,普通住宅,暂无数据,,
1440,350,350,35552,番禺,雅居乐城南源著,98.45,塔楼,2013,北,3室2厅1厨1卫,高楼层 (共11层),高楼层,11,其他,两梯六户,有,70年,2017-12-24,普通住宅,暂无数据,,
1441,185,190,29945,白云,汇侨新城北区,61.78,塔楼,2000,西南,2室1厅1厨1卫,高楼层 (共17层),高楼层,17,其他,两梯十二户,有,70年,2017-12-24,普通住宅,暂无数据,,
1442,75,78,19573,荔湾,环翠园,38.32,塔楼,1994,北,1室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯八户,无,70年,2017-12-18,普通住宅,暂无数据,地铁,
1443,208,208,18910,番禺,禺华园,110,塔楼,未知,南,3室2厅1厨1卫,高楼层 (共7层),高楼层,7,简装,一梯两户,暂无数据,70年,2017-12-24,普通住宅,满五年,,房屋满五年
1444,203,208,21369,荔湾,荔湾广场,95,塔楼,2000,西北,3室1厅1厨2卫,低楼层 (共30层),低楼层,30,其他,三梯八户,有,70年,2017-12-18,普通住宅,暂无数据,地铁,
1445,65,66,7739,花都,富力金港城,84,塔楼,未知,南,2室1厅1厨1卫,低楼层 (共19层),低楼层,19,其他,两梯十三户,有,50年,2017-12-18,商住两用,暂无数据,,
1446,149,150,43644,海珠,双子星城,34.14,塔楼,2005,西南,1室1厅1厨1卫,高楼层 (共15层),高楼层,15,简装,一梯十一户,有,70年,2017-12-18,普通住宅,满五年,地铁,房屋满五年
1447,188,220,30411,白云,金钟横路锦翠苑,61.82,塔楼,1993,南,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,精装,一梯四户,无,70年,2017-12-18,普通住宅,暂无数据,,
1448,125,130,11168,白云,松北公安宿舍,111.93,塔楼,未知,南,3室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,暂无数据,70年,2017-12-18,普通住宅,满五年,,房屋满五年
1449,66,66,20000,白云,三元里大道,33,塔楼,未知,东,1室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯一户,无,70年,2017-12-18,普通住宅,暂无数据,,
1450,133,135,44334,海珠,金碧花园第三金碧,30,塔楼,2000,东,1室1厅1厨1卫,中楼层 (共32层),中楼层,32,简装,两梯七户,有,70年,2017-12-18,普通住宅,暂无数据,,
1451,145,150,16293,白云,白沙新村,89,塔楼,1998,东,3室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2017-12-18,普通住宅,暂无数据,,
1452,95,95,22094,海珠,瑞康大厦,43,塔楼,1997,东,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯十一户,无,70年,2017-12-18,普通住宅,暂无数据,地铁,
1453,850,860,68000,天河,耀星华庭,125,塔楼,2003,南,3室2厅1厨2卫,高楼层 (共31层),高楼层,31,其他,三梯七户,有,70年,2017-12-18,普通住宅,暂无数据,地铁,
1454,228,228,23800,番禺,康裕园,95.8,塔楼,1993,南,3室2厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯两户,无,70年,2017-12-18,普通住宅,暂无数据,,
1455,247,250,26238,海珠,草芳苑,94.14,塔楼,1990,北,3室2厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯五户,无,70年,2017-12-18,普通住宅,暂无数据,,
1456,165,165,34056,海珠,雅致花园,48.45,塔楼,1998,北,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯五户,无,70年,2017-12-23,普通住宅,暂无数据,地铁,
1457,100,120,15786,白云,春鸿居,63.35,塔楼,1997,南 北,3室2厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯三户,无,70年,2017-12-23,普通住宅,暂无数据,,
1458,38,40,18122,白云,春鸿居,20.97,塔楼,1997,南 北,3室2厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯三户,无,70年,2017-12-23,普通住宅,暂无数据,,
1459,120,120,17440,白云,嘉华苑,68.81,塔楼,1995,东,3室2厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯五户,无,70年,2017-12-23,普通住宅,暂无数据,,
1460,109.8,110,12995,番禺,易富大厦,84.5,塔楼,1995,南,3室2厅1厨1卫,高楼层 (共7层),高楼层,7,精装,一梯五户,无,70年,2017-12-24,普通住宅,暂无数据,,
1461,'NoneType' object has no attribute 'strip'
1462,158,163,22889,番禺,石基城市花园,69.03,板楼,2005,北,2室2厅1厨1卫,中楼层 (共6层),中楼层,6,简装,一梯两户,无,70年,2017-12-24,普通住宅,满五年,,房屋满五年
1463,260,265,41815,海珠,纵横国际公寓,62.18,塔楼,2012,北,2室1厅1厨1卫,中楼层 (共30层),中楼层,30,其他,五梯四十户,有,70年,2017-12-18,普通住宅,暂无数据,地铁,
1464,115.6,123,28850,海珠,瑞宝花园,40.07,塔楼,1997,东南,1室1厅0厨1卫,中楼层 (共9层),中楼层,9,其他,一梯六户,无,70年,2017-12-18,普通住宅,暂无数据,地铁,
1465,93,95,25834,越秀,仁济路,36,塔楼,未知,南,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2017-12-28,普通住宅,暂无数据,,
1466,248,258,45926,越秀,拥翠小区西十街,54,塔楼,2000,东,2室1厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯两户,无,70年,2017-12-28,普通住宅,暂无数据,地铁,
1467,132.6,135,17000,番禺,顺德碧桂园蓬莱路,78,板楼,未知,东北,2室2厅1厨1卫,低楼层 (共6层),低楼层,6,其他,一梯一户,无,70年,2017-12-18,普通住宅,暂无数据,,
1468,310,310,37750,天河,中海康城,82.12,塔楼,2002,北,2室2厅1厨1卫,高楼层 (共12层),高楼层,12,简装,一梯四户,有,70年,2017-12-28,普通住宅,暂无数据,地铁,
1469,176,180,76789,天河,祥兴大厦,22.92,塔楼,1996,西南,1室1厅0厨1卫,低楼层 (共23层),低楼层,23,简装,两梯九户,有,70年,2017-12-18,普通住宅,暂无数据,,
1470,328,340,39918,海珠,信和广场,82.17,塔楼,2001,西南,2室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯七户,有,70年,2018-01-05,普通住宅,暂无数据,地铁,
1471,110,112,13415,花都,富力金港城,82,塔楼,2012,北,2室1厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯八户,有,70年,2018-01-05,普通住宅,暂无数据,,
1472,215,220,23251,番禺,锦绣生态园春满园,92.47,塔楼,2003,北,3室2厅1厨1卫,低楼层 (共6层),低楼层,6,其他,一梯四户,无,70年,2018-01-05,普通住宅,暂无数据,,
1473,113,120,28975,海珠,晓园新村晓园新,39,塔楼,2005,南 北,1室1厅1厨1卫,低楼层 (共8层),低楼层,8,其他,一梯四户,无,70年,2018-01-05,普通住宅,暂无数据,地铁,
1474,169,180,22182,荔湾,鸿图苑,76.19,塔楼,1995,南 北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,精装,一梯八户,无,70年,2018-01-05,普通住宅,暂无数据,地铁,
1475,96,99,30399,白云,骏御华庭,31.58,塔楼,2012,南,1室0厅1厨1卫,低楼层 (共21层),低楼层,21,其他,两梯十五户,有,70年,2018-01-05,普通住宅,暂无数据,,
